'sample #','MLII',Type,heart_beat
77,1192,N,1.0
78,1177,N,1.0
79,1128,N,1.0
80,1058,N,1.0
81,991,N,1.0
82,951,N,1.0
83,937,N,1.0
84,939,N,1.0
85,950,N,1.0
86,958,N,1.0
87,959,N,1.0
88,957,N,1.0
89,955,N,1.0
90,958,N,1.0
91,959,N,1.0
92,961,N,1.0
93,962,N,1.0
94,960,N,1.0
95,957,N,1.0
96,956,N,1.0
97,959,N,1.0
98,955,N,1.0
99,957,N,1.0
100,958,N,1.0
101,957,N,1.0
102,958,N,1.0
103,959,N,1.0
104,958,N,1.0
105,958,N,1.0
106,955,N,1.0
107,953,N,1.0
108,957,N,1.0
109,959,N,1.0
110,963,N,1.0
111,960,N,1.0
112,960,N,1.0
113,958,N,1.0
114,956,N,1.0
115,957,N,1.0
116,956,N,1.0
117,955,N,1.0
118,953,N,1.0
119,953,N,1.0
120,956,N,1.0
121,958,N,1.0
122,958,N,1.0
123,958,N,1.0
124,956,N,1.0
125,954,N,1.0
126,959,N,1.0
127,959,N,1.0
128,958,N,1.0
129,958,N,1.0
130,957,N,1.0
131,957,N,1.0
132,956,N,1.0
133,958,N,1.0
134,956,N,1.0
135,954,N,1.0
136,953,N,1.0
137,954,N,1.0
138,955,N,1.0
139,958,N,1.0
140,960,N,1.0
141,957,N,1.0
142,958,N,1.0
143,955,N,1.0
144,958,N,1.0
145,957,N,1.0
146,957,N,1.0
147,955,N,1.0
148,955,N,1.0
149,953,N,1.0
150,956,N,1.0
151,956,N,1.0
152,957,N,1.0
153,958,N,1.0
154,954,N,1.0
155,954,N,1.0
156,955,N,1.0
157,957,N,1.0
158,957,N,1.0
159,957,N,1.0
160,954,N,1.0
161,953,N,1.0
162,953,N,1.0
163,955,N,1.0
164,955,N,1.0
165,957,N,1.0
166,954,N,1.0
167,952,N,1.0
168,952,N,1.0
169,952,N,1.0
170,951,N,1.0
171,952,N,1.0
172,950,N,1.0
173,947,N,1.0
174,950,N,1.0
175,952,N,1.0
176,953,N,1.0
177,952,N,1.0
178,949,N,1.0
179,949,N,1.0
180,951,N,1.0
181,951,N,1.0
182,952,N,1.0
183,952,N,1.0
184,951,N,1.0
185,950,N,1.0
186,953,N,1.0
187,958,N,1.0
188,959,N,1.0
189,959,N,1.0
190,957,N,1.0
191,956,N,1.0
192,961,N,1.0
193,964,N,1.0
194,964,N,1.0
195,966,N,1.0
196,965,N,1.0
197,966,N,1.0
198,967,N,1.0
199,969,N,1.0
200,973,N,1.0
201,974,N,1.0
202,974,N,1.0
203,971,N,1.0
204,973,N,1.0
205,975,N,1.0
206,978,N,1.0
207,975,N,1.0
208,975,N,1.0
209,973,N,1.0
210,973,N,1.0
211,976,N,1.0
212,974,N,1.0
213,973,N,1.0
214,975,N,1.0
215,973,N,1.0
216,974,N,1.0
217,974,N,1.0
218,971,N,1.0
219,972,N,1.0
220,972,N,1.0
221,971,N,1.0
222,970,N,1.0
223,971,N,1.0
224,972,N,1.0
225,969,N,1.0
226,968,N,1.0
227,966,N,1.0
228,969,N,1.0
229,970,N,1.0
230,972,N,1.0
231,968,N,1.0
232,968,N,1.0
233,967,N,1.0
234,969,N,1.0
235,969,N,1.0
236,971,N,1.0
237,970,N,1.0
238,967,N,1.0
239,966,N,1.0
240,968,N,1.0
241,969,N,1.0
242,967,N,1.0
243,968,N,1.0
244,964,N,1.0
245,964,N,1.0
246,963,N,1.0
247,965,N,1.0
248,964,N,1.0
249,962,N,1.0
250,962,N,1.0
251,963,N,1.0
252,965,N,1.0
253,967,N,1.0
254,967,N,1.0
255,966,N,1.0
256,965,N,1.0
257,962,N,1.0
258,966,N,1.0
259,965,N,1.0
260,964,N,1.0
261,963,N,1.0
262,962,N,1.0
263,959,N,1.0
264,962,N,1.0
265,964,N,1.0
266,966,N,1.0
267,962,N,1.0
268,959,N,1.0
269,958,N,1.0
270,961,N,1.0
271,964,N,1.0
272,963,N,1.0
273,962,N,1.0
274,960,N,1.0
275,958,N,1.0
276,959,N,1.0
277,961,N,1.0
278,962,N,1.0
279,963,N,1.0
280,963,N,1.0
281,962,N,1.0
282,964,N,1.0
283,963,N,1.0
284,966,N,1.0
285,964,N,1.0
286,964,N,1.0
287,963,N,1.0
288,963,N,1.0
289,966,N,1.0
290,968,N,1.0
291,965,N,1.0
292,963,N,1.0
293,961,N,1.0
294,963,N,1.0
295,965,N,1.0
296,966,N,1.0
297,968,N,1.0
298,970,N,1.0
299,969,N,1.0
300,969,N,1.0
301,970,N,1.0
302,974,N,1.0
303,974,N,1.0
304,973,N,1.0
305,979,N,1.0
