'sample #','MLII',Type,heart_beat
0,1192,N,1.0
1,1177,N,1.0
2,1128,N,1.0
3,1058,N,1.0
4,991,N,1.0
5,951,N,1.0
6,937,N,1.0
7,939,N,1.0
8,950,N,1.0
9,958,N,1.0
10,959,N,1.0
11,957,N,1.0
12,955,N,1.0
13,958,N,1.0
14,959,N,1.0
15,961,N,1.0
16,962,N,1.0
17,960,N,1.0
18,957,N,1.0
19,956,N,1.0
20,959,N,1.0
21,955,N,1.0
22,957,N,1.0
23,958,N,1.0
24,957,N,1.0
25,958,N,1.0
26,959,N,1.0
27,958,N,1.0
28,958,N,1.0
29,955,N,1.0
30,953,N,1.0
31,957,N,1.0
32,959,N,1.0
33,963,N,1.0
34,960,N,1.0
35,960,N,1.0
36,958,N,1.0
37,956,N,1.0
38,957,N,1.0
39,956,N,1.0
40,955,N,1.0
41,953,N,1.0
42,953,N,1.0
43,956,N,1.0
44,958,N,1.0
45,958,N,1.0
46,958,N,1.0
47,956,N,1.0
48,954,N,1.0
49,959,N,1.0
50,959,N,1.0
51,958,N,1.0
52,958,N,1.0
53,957,N,1.0
54,957,N,1.0
55,956,N,1.0
56,958,N,1.0
57,956,N,1.0
58,954,N,1.0
59,953,N,1.0
60,954,N,1.0
61,955,N,1.0
62,958,N,1.0
63,960,N,1.0
64,957,N,1.0
65,958,N,1.0
66,955,N,1.0
67,958,N,1.0
68,957,N,1.0
69,957,N,1.0
70,955,N,1.0
71,955,N,1.0
72,953,N,1.0
73,956,N,1.0
74,956,N,1.0
75,957,N,1.0
76,958,N,1.0
77,954,N,1.0
78,954,N,1.0
79,955,N,1.0
80,957,N,1.0
81,957,N,1.0
82,957,N,1.0
83,954,N,1.0
84,953,N,1.0
85,953,N,1.0
86,955,N,1.0
87,955,N,1.0
88,957,N,1.0
89,954,N,1.0
90,952,N,1.0
91,952,N,1.0
92,952,N,1.0
93,951,N,1.0
94,952,N,1.0
95,950,N,1.0
96,947,N,1.0
97,950,N,1.0
98,952,N,1.0
99,953,N,1.0
100,952,N,1.0
101,949,N,1.0
102,949,N,1.0
103,951,N,1.0
104,951,N,1.0
105,952,N,1.0
106,952,N,1.0
107,951,N,1.0
108,950,N,1.0
109,953,N,1.0
110,958,N,1.0
111,959,N,1.0
112,959,N,1.0
113,957,N,1.0
114,956,N,1.0
115,961,N,1.0
116,964,N,1.0
117,964,N,1.0
118,966,N,1.0
119,965,N,1.0
120,966,N,1.0
121,967,N,1.0
122,969,N,1.0
123,973,N,1.0
124,974,N,1.0
125,974,N,1.0
126,971,N,1.0
127,973,N,1.0
128,975,N,1.0
129,978,N,1.0
130,975,N,1.0
131,975,N,1.0
132,973,N,1.0
133,973,N,1.0
134,976,N,1.0
135,974,N,1.0
136,973,N,1.0
137,975,N,1.0
138,973,N,1.0
139,974,N,1.0
140,974,N,1.0
141,971,N,1.0
142,972,N,1.0
143,972,N,1.0
144,971,N,1.0
145,970,N,1.0
146,971,N,1.0
147,972,N,1.0
148,969,N,1.0
149,968,N,1.0
150,966,N,1.0
151,969,N,1.0
152,970,N,1.0
153,972,N,1.0
154,968,N,1.0
155,968,N,1.0
156,967,N,1.0
157,969,N,1.0
158,969,N,1.0
159,971,N,1.0
160,970,N,1.0
161,967,N,1.0
162,966,N,1.0
163,968,N,1.0
164,969,N,1.0
165,967,N,1.0
166,968,N,1.0
167,964,N,1.0
168,964,N,1.0
169,963,N,1.0
170,965,N,1.0
171,964,N,1.0
172,962,N,1.0
173,962,N,1.0
174,963,N,1.0
175,965,N,1.0
176,967,N,1.0
177,967,N,1.0
178,966,N,1.0
179,965,N,1.0
180,962,N,1.0
181,966,N,1.0
182,965,N,1.0
183,964,N,1.0
184,963,N,1.0
185,962,N,1.0
186,959,N,1.0
187,962,N,1.0
188,964,N,1.0
189,966,N,1.0
190,962,N,1.0
191,959,N,1.0
192,958,N,1.0
193,961,N,1.0
194,964,N,1.0
195,963,N,1.0
196,962,N,1.0
197,960,N,1.0
198,958,N,1.0
199,959,N,1.0
200,961,N,1.0
201,962,N,1.0
202,963,N,1.0
203,963,N,1.0
204,962,N,1.0
205,964,N,1.0
206,963,N,1.0
207,966,N,1.0
208,964,N,1.0
209,964,N,1.0
210,963,N,1.0
211,963,N,1.0
212,966,N,1.0
213,968,N,1.0
214,965,N,1.0
215,963,N,1.0
216,961,N,1.0
217,963,N,1.0
218,965,N,1.0
219,966,N,1.0
220,968,N,1.0
221,970,N,1.0
222,969,N,1.0
223,969,N,1.0
224,970,N,1.0
225,974,N,1.0
226,974,N,1.0
227,973,N,1.0
228,979,N,1.0
229,980,N,1.0
230,983,N,1.0
231,984,N,1.0
232,983,N,1.0
233,981,N,1.0
234,978,N,1.0
235,980,N,1.0
236,979,N,1.0
237,979,N,1.0
238,979,N,1.0
239,978,N,1.0
240,977,N,1.0
241,976,N,1.0
242,977,N,1.0
243,980,N,1.0
244,982,N,1.0
245,983,N,1.0
246,975,N,1.0
247,967,N,1.0
248,967,N,1.0
249,964,N,1.0
250,962,N,1.0
251,958,N,1.0
252,958,N,1.0
253,959,N,1.0
254,961,N,1.0
255,960,N,1.0
256,961,N,1.0
257,959,N,1.0
258,956,N,1.0
259,955,N,1.0
260,956,N,1.0
261,956,N,1.0
262,954,N,1.0
263,955,N,1.0
264,953,N,1.0
265,958,N,1.0
266,957,N,1.0
267,958,N,1.0
268,960,N,1.0
269,955,N,1.0
270,953,N,1.0
271,956,N,1.0
272,958,N,1.0
273,959,N,1.0
274,958,N,1.0
275,954,N,1.0
276,951,N,1.0
277,952,N,1.0
278,948,N,1.0
279,939,N,1.0
280,935,N,1.0
281,929,N,1.0
282,922,N,1.0
283,917,N,1.0
284,923,N,1.0
285,941,N,1.0
286,964,N,1.0
287,992,N,1.0
288,1021,N,1.0
289,1071,N,1.0
290,1122,N,1.0
291,1168,N,1.0
292,1199,N,1.0
293,1212,N,2.0
294,1205,N,2.0
295,1175,N,2.0
296,1122,N,2.0
297,1057,N,2.0
298,1002,N,2.0
299,970,N,2.0
300,946,N,2.0
301,934,N,2.0
302,929,N,2.0
303,933,N,2.0
304,939,N,2.0
305,946,N,2.0
306,946,N,2.0
307,947,N,2.0
308,946,N,2.0
